QUADRO	CÓDIGO DO PRODUTO	DESCRIÇÃO DO PRODUTO
9	912801	CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (PECA)
9	912901	CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (MAO DE OBRA)
9	913001	CONSERTO DE ROTEADOR OU MODEM (PECA + MAO DE OBRA)
9	913101	CONSERTO DE ROTEADOR OU MODEM (PECA)
9	913201	CONSERTO DE ROTEADOR OU MODEM (MAO DE OBRA)
9	913301	CONSERTO DE GERADOR DE ENERGIA (PECA + MAO DE OBRA)
9	913401	CONSERTO DE GERADOR DE ENERGIA (PECA)
9	913501	CONSERTO DE GERADOR DE ENERGIA (MAO DE OBRA)
9	913601	CONSERTO DE CILINDRO ELETRICO (PECA + MAO DE OBRA)
9	913701	CONSERTO DE CILINDRO ELETRICO (PECA)
9	913801	CONSERTO DE CILINDRO ELETRICO (MAO DE OBRA)
9	913901	CONSERTO DE CONVERSOR DIGITAL (PECA + MAO DE OBRA)
9	914001	CONSERTO DE CONVERSOR DIGITAL (PECA)
9	914101	CONSERTO DE CONVERSOR DIGITAL (MAO DE OBRA)
9	914201	CONSERTO DE COLCHAO ELETRICO (PECA + MAO DE OBRA)
9	914301	CONSERTO DE COLCHAO ELETRICO (PECA)
9	914401	CONSERTO DE COLCHAO ELETRICO (MAO DE OBRA)
9	914501	CONSERTO DE CERCA ELETRICA (PECA + MAO DE OBRA)
9	914601	CONSERTO DE CERCA ELETRICA (PECA)
9	914701	CONSERTO DE CERCA ELETRICA (MAO DE OBRA)
9	914801	CONSERTO DE CHURRASQUEIRA ELETRICA (PECA + MAO DE OBRA)
9	914901	CONSERTO DE CHURRASQUEIRA ELETRICA (PECA)
9	915001	CONSERTO DE CHURRASQUEIRA ELETRICA (MAO DE OBRA)
9	915101	CONSERTO DE ADEGA ELETRICA (PECA + MAO DE OBRA)
9	915201	CONSERTO DE ADEGA ELETRICA (PECA)
9	915301	CONSERTO DE ADEGA ELETRICA (MAO DE OBRA)
9	915401	CONSERTO DE FURADEIRA (PECA + MAO DE OBRA)
9	915501	CONSERTO DE FURADEIRA (PECA)
9	915601	CONSERTO DE FURADEIRA (MAO DE OBRA)
9	915701	CONSERTO DE GRILL ELETRICO (PECA + MAO DE OBRA)
9	915801	CONSERTO DE GRILL ELETRICO (PECA)
9	915901	CONSERTO DE GRILL ELETRICO (MAO DE OBRA)
9	916001	CONSERTO DE JARRA ELETRICA (PECA + MAO DE OBRA)
9	916101	CONSERTO DE JARRA ELETRICA (PECA)
9	916201	CONSERTO DE JARRA ELETRICA (MAO DE OBRA)
9	916301	CONSERTO DE LAVA JATO (PECA + MAO DE OBRA)
9	916401	CONSERTO DE LAVA JATO (PECA)
9	916501	CONSERTO DE LAVA JATO (MAO DE OBRA)
9	916601	CONSERTO DE HOME THEATER (PECA + MAO DE OBRA)
9	916701	CONSERTO DE HOME THEATER (PECA)
9	916801	CONSERTO DE HOME THEATER (MAO DE OBRA)
9	916901	CONSERTO DE MAQUINA DE CORTAR CABELOS (PECA + MAO DE OBRA)
9	917001	CONSERTO DE MAQUINA DE CORTAR CABELOS (PECA)
9	917101	CONSERTO DE MAQUINA DE CORTAR CABELOS (MAO DE OBRA)
9	917201	CONSERTO DE MIXER (PECA + MAO DE OBRA)
9	917301	CONSERTO DE MIXER (PECA)
9	917401	CONSERTO DE MIXER (MAO DE OBRA)
9	917501	CONSERTO DE MAQUINA DE CORTAR GRAMA (PECA + MAO DE OBRA)
9	917601	CONSERTO DE MAQUINA DE CORTAR GRAMA (PECA)
9	917701	CONSERTO DE MAQUINA DE CORTAR GRAMA (MAO DE OBRA)
9	917801	CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (PECA + MAO DE OBRA)
9	917901	CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (PECA)
9	918001	CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (MAO DE OBRA)
9	918101	CONSERTO DE ROCADEIRA (PECA + MAO DE OBRA)
9	918201	CONSERTO DE ROCADEIRA (PECA)
9	918301	CONSERTO DE ROCADEIRA (MAO DE OBRA)
9	918401	CONSERTO DE MAQUINA DE TATUAGEM (PECA + MAO DE OBRA)
9	918501	CONSERTO DE MAQUINA DE TATUAGEM (PECA)
9	918601	CONSERTO DE MAQUINA DE TATUAGEM (MAO DE OBRA)
9	918701	CONSERTO DE PRANCHA DE CABELO (PECA + MAO DE OBRA)
9	918801	CONSERTO DE PRANCHA DE CABELO (PECA)
9	918901	CONSERTO DE PRANCHA DE CABELO (MAO DE OBRA)
9	919001	CONSERTO DE AQUECEDOR DE AGUA (PECA + MAO DE OBRA)
9	919101	CONSERTO DE AQUECEDOR DE AGUA (PECA)
9	919201	CONSERTO DE AQUECEDOR DE AGUA (MAO DE OBRA)
9	919301	CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (PECA + MAO DE OBRA)
9	919401	CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (PECA)
9	919501	CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (MAO DE OBRA)
9	919601	CONSERTO DE INTERFONE (PECA + MAO DE OBRA)
9	919701	CONSERTO DE INTERFONE (PECA)
9	919801	CONSERTO DE INTERFONE (MAO DE OBRA)
9	919901	CONSERTO DE MAQUINA DE FAZER PAO (PECA + MAO DE OBRA)
